Crop,Nitrogen_N,Phosphorus_P,Potassium_K,pH,Rainfall_mm,Temperature_C,Humidity_percent,Land_Size_hectares,Scheme
Muskmelon,100.7,27.5,52.3,6.4,21.7,29.1,90.9,2.57,Kisan Credit Card
Pomegranate,39.6,25.8,42.3,6.1,110.2,23.3,90.2,2.97,Soil Health Card
Rice,85.2,40.1,39.1,6.5,203.2,25.0,85.0,4.58,Paramparagat Krishi
Grapes,35.6,135.6,201.3,6.4,68.2,30.9,82.6,2.46,PM-Kisan
Apple,39.2,142.2,202.9,6.2,112.3,23.4,93.1,4.53,Fasal Bima Yojana
Blackgram,48.7,57.9,19.3,7.5,70.5,26.4,65.8,3.87,Soil Health Card
Pomegranate,18.8,26.3,42.9,5.8,116.2,22.0,93.1,4.22,None
Watermelon,114.9,21.2,52.6,6.6,40.6,26.9,86.8,3.09,None
Pomegranate,37.9,15.7,42.1,7.1,104.7,23.0,93.7,0.7,Soil Health Card
Pigeonpeas,18.0,68.8,20.5,5.1,103.9,29.6,41.3,3.28,PM-Kisan
Papaya,55.1,62.2,46.0,6.7,134.6,37.4,90.3,0.36,Fasal Bima Yojana
Maize,83.2,58.9,20.3,6.3,91.4,25.0,56.6,2.31,State Subsidy A
Lentil,22.8,61.0,16.1,7.5,40.3,22.4,61.6,0.86,Paramparagat Krishi
Watermelon,86.9,25.4,49.6,6.1,52.8,24.7,90.0,0.24,State Subsidy A
Papaya,46.8,56.8,54.0,6.6,228.5,43.7,94.5,0.99,Fasal Bima Yojana
Blackgram,54.0,72.3,16.5,6.9,67.4,29.1,63.1,1.12,State Subsidy A
Pigeonpeas,23.4,68.4,16.9,5.7,104.3,19.0,47.3,3.13,PM-Kisan
Orange,26.5,23.5,8.3,6.8,119.9,26.8,92.7,5.71,State Subsidy A
Papaya,50.5,45.9,49.9,6.5,140.9,35.0,92.1,3.03,Soil Health Card
Grapes,19.4,122.7,196.8,5.9,68.1,17.7,79.1,0.64,State Subsidy A
Apple,35.4,131.3,195.9,5.8,114.9,22.3,93.3,1.79,Kisan Credit Card
Blackgram,52.8,76.1,20.9,7.4,74.7,25.2,66.3,1.1,Kisan Credit Card
Pomegranate,38.4,20.3,35.2,6.5,111.2,20.6,94.9,1.43,Kisan Credit Card
Orange,25.8,18.3,10.0,7.1,110.5,28.3,93.2,2.56,Fasal Bima Yojana
Chickpea,22.1,73.9,76.3,6.1,62.1,20.0,17.7,1.15,Fasal Bima Yojana
Kidneybeans,29.6,71.1,19.6,5.6,139.7,23.3,29.3,1.43,State Subsidy A
Pomegranate,38.8,23.2,41.6,6.2,115.1,19.7,87.2,1.79,Kisan Credit Card
Cotton,114.4,37.9,18.2,6.6,75.5,23.5,64.2,4.98,Fasal Bima Yojana
Rice,81.1,48.9,38.0,6.3,262.2,22.1,85.6,2.08,Paramparagat Krishi
Muskmelon,80.2,26.3,54.3,6.3,23.4,28.0,91.0,0.35,PM-Kisan
Pomegranate,16.9,25.9,44.7,7.0,106.9,24.7,89.8,0.87,PM-Kisan
Papaya,42.8,63.5,47.0,6.9,185.1,26.7,94.6,1.65,Paramparagat Krishi
Blackgram,40.3,73.2,23.6,6.9,64.5,26.8,64.7,2.62,Kisan Credit Card
Chickpea,51.5,56.2,80.7,7.9,66.1,17.4,15.9,4.89,Kisan Credit Card
Coconut,38.6,23.7,32.2,5.5,136.2,26.5,95.4,1.47,PM-Kisan
Mungbean,17.7,52.0,21.7,6.9,57.2,29.3,82.6,2.87,State Subsidy A
Mungbean,26.6,57.8,18.7,6.5,40.1,27.9,83.7,1.23,PM-Kisan
Pomegranate,27.8,19.1,36.9,6.4,108.9,22.8,92.8,1.99,PM-Kisan
Mothbeans,36.0,58.0,20.5,4.1,40.8,27.1,42.0,2.77,Paramparagat Krishi
Lentil,15.1,64.5,21.9,6.8,49.9,23.3,64.6,0.49,State Subsidy A
Mango,39.4,17.7,34.8,5.0,96.1,34.1,54.3,3.51,State Subsidy A
Coffee,115.6,18.5,27.8,7.2,137.6,27.2,65.2,4.68,Kisan Credit Card
Papaya,53.0,52.5,50.0,6.7,153.8,42.1,94.7,4.75,Fasal Bima Yojana
Kidneybeans,35.7,55.4,17.4,5.8,123.3,19.5,21.3,6.49,Paramparagat Krishi
Pomegranate,22.6,20.4,38.8,6.3,106.4,21.6,87.1,5.24,Soil Health Card
Banana,108.9,70.1,49.1,6.1,108.4,26.8,84.1,1.76,Kisan Credit Card
Papaya,54.5,57.8,52.8,6.7,171.8,28.9,94.9,1.67,Kisan Credit Card
Pigeonpeas,28.9,67.1,16.2,5.4,131.5,23.3,56.2,3.29,Paramparagat Krishi
Banana,80.5,77.1,53.9,6.5,104.4,27.7,76.5,3.09,Soil Health Card
Pigeonpeas,33.2,74.3,18.5,5.8,111.9,27.5,52.2,6.82,Paramparagat Krishi
Orange,23.1,26.4,8.7,7.1,106.3,29.6,94.4,1.58,Soil Health Card
Muskmelon,105.5,21.1,53.0,6.3,22.7,27.9,94.0,4.97,Fasal Bima Yojana
Kidneybeans,31.1,65.6,20.5,5.7,129.8,18.4,25.8,2.96,Kisan Credit Card
Apple,25.7,122.8,201.1,5.9,113.7,22.5,94.4,1.36,Kisan Credit Card
Watermelon,89.3,29.3,54.5,6.9,58.6,24.2,89.5,3.53,Kisan Credit Card
Apple,34.0,130.4,197.5,5.8,118.7,23.6,94.5,2.58,PM-Kisan
Orange,32.4,28.2,9.1,6.9,102.9,21.7,91.2,4.28,State Subsidy A
Mango,22.6,39.0,31.1,5.0,95.2,30.3,52.6,2.37,Soil Health Card
Lentil,19.2,67.6,19.7,6.7,42.0,22.9,60.1,1.66,State Subsidy A
Banana,97.8,75.4,50.5,5.6,100.8,28.4,80.9,1.31,Kisan Credit Card
Lentil,32.1,61.2,16.2,7.1,54.6,25.0,66.1,1.41,PM-Kisan
Mungbean,36.2,46.9,23.1,6.9,46.5,27.3,88.8,1.54,Soil Health Card
Banana,117.9,77.8,51.9,5.9,112.3,26.1,83.7,3.5,Paramparagat Krishi
Coconut,26.6,25.5,30.0,6.1,223.1,28.6,91.8,1.21,PM-Kisan
Grapes,30.9,140.9,203.0,5.6,69.4,28.7,82.6,1.38,Kisan Credit Card
Grapes,38.3,127.1,195.3,6.3,71.7,11.8,78.0,0.95,Kisan Credit Card
Rice,74.1,49.4,42.6,7.0,218.6,22.4,89.2,2.68,Paramparagat Krishi
Rice,84.6,44.5,43.3,7.3,202.6,24.8,91.3,2.39,Fasal Bima Yojana
Banana,104.9,91.7,51.6,6.4,111.5,27.8,81.1,5.04,Soil Health Card
Grapes,28.8,123.6,204.4,5.8,74.8,28.4,80.5,0.27,PM-Kisan
Mango,27.0,24.1,31.0,5.5,93.7,27.2,52.1,4.87,Fasal Bima Yojana
Rice,65.5,36.8,38.1,6.6,216.1,20.5,86.3,3.58,Fasal Bima Yojana
Mungbean,22.3,47.7,19.6,6.8,56.7,27.2,81.1,2.1,Kisan Credit Card
Pigeonpeas,19.1,59.7,15.7,6.5,100.6,23.5,51.4,2.57,State Subsidy A
Mango,25.0,34.9,32.5,6.2,92.2,28.5,47.4,3.17,Kisan Credit Card
Pomegranate,26.6,28.7,40.9,6.1,100.9,22.5,88.6,1.12,PM-Kisan
Pigeonpeas,15.7,60.2,19.2,5.3,159.5,21.5,48.8,3.12,Fasal Bima Yojana
Blackgram,56.9,56.5,20.1,7.1,62.4,25.7,65.1,2.08,Kisan Credit Card
Rice,65.2,42.5,42.3,6.1,221.9,22.4,86.9,1.25,Soil Health Card
Mothbeans,33.3,42.7,23.1,7.9,69.9,24.7,50.7,2.85,PM-Kisan
Rice,69.8,56.3,39.2,6.2,277.6,25.2,92.2,1.44,Fasal Bima Yojana
Pigeonpeas,29.8,78.7,21.5,5.5,147.2,19.5,43.3,1.97,PM-Kisan
Blackgram,44.5,72.7,24.8,7.3,73.1,28.6,61.6,3.57,Fasal Bima Yojana
Orange,30.0,25.3,6.5,7.5,102.8,22.8,91.8,3.01,Soil Health Card
Orange,18.7,15.0,12.6,6.5,112.6,21.6,91.7,5.12,Fasal Bima Yojana
Pomegranate,36.4,20.1,41.3,5.9,112.8,20.7,88.5,5.28,Fasal Bima Yojana
Blackgram,59.2,61.5,23.3,6.7,74.3,25.4,60.1,0.36,PM-Kisan
Lentil,33.4,57.2,18.5,6.3,42.6,20.6,68.3,2.22,Paramparagat Krishi
Lentil,35.6,59.4,22.9,7.1,54.0,21.6,60.2,3.68,Fasal Bima Yojana
Blackgram,48.2,75.6,18.3,7.4,66.9,25.8,62.9,2.98,Fasal Bima Yojana
Banana,113.3,92.9,46.0,6.1,109.9,27.2,84.3,1.82,Soil Health Card
Pomegranate,39.7,20.7,35.3,7.1,116.6,22.7,90.9,3.83,Paramparagat Krishi
Pomegranate,18.2,29.2,41.9,5.7,108.5,20.7,90.9,2.2,State Subsidy A
Kidneybeans,30.0,76.1,24.1,6.0,125.1,19.2,23.4,5.29,Soil Health Card
Orange,24.5,24.0,6.4,7.4,109.2,26.2,95.0,3.02,None
Orange,33.9,20.0,11.2,6.6,107.0,26.9,92.0,1.85,Soil Health Card
Blackgram,42.5,66.4,20.2,7.4,66.5,25.9,62.5,3.13,None
Maize,67.2,52.5,22.5,6.0,74.9,19.1,74.9,3.74,PM-Kisan
Kidneybeans,27.2,70.2,22.3,5.5,101.6,19.5,21.4,1.24,PM-Kisan
Chickpea,30.7,66.6,80.6,7.1,78.5,20.8,20.3,1.15,Kisan Credit Card
Mothbeans,18.9,46.3,23.4,8.0,56.3,29.5,57.8,1.55,Soil Health Card
Blackgram,51.8,63.6,16.3,7.4,61.5,26.6,68.0,7.27,State Subsidy A
Mothbeans,18.2,52.3,20.3,5.8,48.2,31.0,59.8,0.7,Paramparagat Krishi
Coffee,108.9,28.9,30.6,7.4,122.9,27.5,65.3,0.86,Kisan Credit Card
Lentil,31.6,63.1,23.8,6.7,46.8,22.7,67.0,1.9,PM-Kisan
Mothbeans,33.2,41.2,21.2,4.5,68.2,24.9,45.4,1.58,Fasal Bima Yojana
Kidneybeans,15.6,76.3,20.9,5.9,132.2,15.2,21.6,3.44,State Subsidy A
Rice,80.1,56.2,39.4,6.1,219.1,24.8,80.9,3.44,Fasal Bima Yojana
Orange,19.2,17.0,14.0,6.7,108.2,24.6,91.3,3.87,Kisan Credit Card
Rice,64.0,40.6,36.6,7.2,200.8,22.5,92.2,2.18,State Subsidy A
Kidneybeans,35.7,70.0,22.5,6.0,110.2,16.0,20.5,4.28,None
Blackgram,57.6,56.6,17.4,7.2,63.4,28.9,64.6,1.96,Kisan Credit Card
Mango,25.4,19.9,29.9,6.6,93.2,34.8,48.9,1.76,Kisan Credit Card
Pigeonpeas,36.4,57.0,17.0,6.0,97.8,21.0,53.8,2.07,None
Mungbean,27.0,58.9,17.0,6.7,44.4,29.2,87.1,5.21,Soil Health Card
Rice,71.7,48.4,37.5,7.4,234.5,23.7,84.0,4.58,Paramparagat Krishi
Rice,80.1,46.2,38.8,6.4,217.3,20.7,91.7,1.07,PM-Kisan
Rice,84.1,38.7,40.8,6.3,209.6,25.0,84.0,1.63,PM-Kisan
Mungbean,26.4,59.0,21.6,6.7,38.7,29.1,83.5,4.08,State Subsidy A
Blackgram,49.5,78.7,22.0,7.3,69.3,29.9,60.2,3.24,Kisan Credit Card
Apple,28.2,144.0,201.6,6.1,113.2,22.8,92.5,0.62,Kisan Credit Card
Chickpea,47.4,59.2,84.4,6.7,84.0,19.7,22.6,2.81,Fasal Bima Yojana
Mungbean,22.8,53.2,19.1,6.5,42.7,30.0,83.7,2.37,Fasal Bima Yojana
Lentil,34.1,65.1,21.7,6.8,42.5,27.3,69.1,3.7,Fasal Bima Yojana
Kidneybeans,15.7,60.7,15.6,5.9,94.0,19.8,24.2,3.77,Fasal Bima Yojana
Grapes,30.9,141.8,198.8,6.3,72.6,21.3,82.6,2.13,Fasal Bima Yojana
Orange,38.1,22.0,6.4,7.1,117.7,27.8,93.3,2.14,State Subsidy A
Banana,92.7,93.7,48.6,6.0,97.7,25.4,77.1,2.71,Paramparagat Krishi
Mango,15.0,30.4,25.9,5.3,87.2,29.6,52.6,0.31,Soil Health Card
Blackgram,44.2,73.1,16.8,7.1,70.7,29.2,60.3,1.86,PM-Kisan
Kidneybeans,20.4,66.3,17.3,5.7,117.4,21.8,25.4,1.2,Paramparagat Krishi
Mungbean,18.9,44.2,22.6,6.5,51.1,27.6,81.0,4.14,PM-Kisan
Kidneybeans,36.7,70.2,20.6,5.6,122.3,19.7,21.6,5.34,Paramparagat Krishi
Maize,98.6,54.5,21.5,6.9,85.5,23.4,59.8,3.02,Soil Health Card
Mango,33.9,23.1,34.7,4.7,88.0,29.2,46.3,5.31,Fasal Bima Yojana
Pigeonpeas,25.6,72.0,23.0,5.3,107.4,18.2,53.4,3.86,Paramparagat Krishi
Grapes,23.9,124.4,195.4,6.4,67.2,28.5,79.5,1.21,Soil Health Card
Mungbean,35.3,36.4,16.8,6.2,48.2,28.0,85.7,0.28,Kisan Credit Card
Banana,94.7,93.3,51.5,6.5,99.0,27.0,84.9,7.26,Fasal Bima Yojana
Kidneybeans,16.2,77.8,16.6,5.7,130.4,18.9,24.1,2.46,None
Grapes,24.2,131.5,199.4,5.6,68.2,30.7,80.0,2.45,State Subsidy A
Coconut,21.5,15.8,27.2,5.7,134.8,27.8,92.8,1.26,PM-Kisan
Papaya,59.2,54.9,52.5,6.6,226.7,24.1,92.2,1.02,Soil Health Card
Rice,65.2,57.5,39.0,7.4,203.0,23.4,88.0,1.58,State Subsidy A
Pigeonpeas,31.1,76.6,18.9,5.5,117.2,29.4,59.7,1.95,PM-Kisan
Lentil,33.1,74.5,21.7,6.6,50.4,22.3,60.9,4.86,Paramparagat Krishi
Watermelon,98.9,24.9,53.1,6.4,44.0,24.2,80.7,4.35,PM-Kisan
Mango,25.9,36.4,31.9,4.9,99.1,32.0,45.9,1.33,Paramparagat Krishi
Pomegranate,16.8,22.7,36.3,6.1,118.0,21.2,91.0,3.18,None
Grapes,28.2,122.8,201.0,6.5,68.4,25.5,82.7,6.07,Paramparagat Krishi
Blackgram,51.3,61.5,17.6,6.5,67.6,25.6,63.0,1.59,Kisan Credit Card
Maize,84.8,47.3,19.2,5.8,94.2,19.7,58.8,1.8,Soil Health Card
Cotton,115.3,57.9,17.4,7.4,74.1,23.7,59.8,0.77,PM-Kisan
Papaya,55.3,61.6,49.1,6.6,200.6,40.5,94.9,5.35,Paramparagat Krishi
Mothbeans,20.7,43.2,18.3,6.8,38.5,26.7,52.9,0.38,Kisan Credit Card
Rice,84.7,57.9,43.0,6.2,245.7,21.4,89.2,3.33,Soil Health Card
Cotton,136.1,37.7,24.6,6.5,89.9,25.9,66.7,2.85,Fasal Bima Yojana
Watermelon,110.1,15.3,51.1,6.7,46.5,25.1,86.3,1.8,PM-Kisan
Orange,35.0,23.9,12.2,7.1,109.1,15.4,90.4,2.38,State Subsidy A
Coconut,34.0,24.3,31.9,6.3,147.3,25.2,90.7,3.56,Paramparagat Krishi
Grapes,15.0,133.0,201.9,6.5,74.4,16.0,78.2,1.44,Paramparagat Krishi
Kidneybeans,28.4,57.0,25.0,6.0,99.4,16.4,28.0,1.07,Kisan Credit Card
Pomegranate,27.8,17.8,39.4,6.1,110.9,20.3,93.0,1.35,Soil Health Card
Grapes,26.1,120.8,202.7,6.0,72.7,37.3,80.7,3.52,PM-Kisan
Banana,115.5,73.8,45.1,5.8,105.4,25.7,83.3,4.48,Paramparagat Krishi
Mango,29.2,20.6,25.8,6.7,93.7,33.2,46.6,3.93,PM-Kisan
Jute,67.0,37.8,39.9,6.8,161.7,23.5,74.2,2.07,PM-Kisan
Maize,72.4,36.7,19.9,6.9,68.0,20.3,57.5,3.0,PM-Kisan
Apple,33.6,143.8,196.8,5.7,106.0,22.1,94.2,3.79,State Subsidy A
Pigeonpeas,17.2,77.1,16.3,7.0,103.7,27.5,40.4,1.46,Kisan Credit Card
Banana,106.4,82.6,52.8,6.5,115.2,27.4,82.3,2.94,Kisan Credit Card
Watermelon,109.9,21.9,51.6,6.2,41.8,25.6,86.2,0.85,PM-Kisan
Mungbean,36.3,38.4,18.0,7.0,38.5,30.0,86.4,2.95,Paramparagat Krishi
Mungbean,19.2,40.4,15.9,7.1,48.0,29.8,85.8,2.19,Paramparagat Krishi
Muskmelon,95.6,18.3,46.7,6.6,22.6,27.6,91.2,2.3,State Subsidy A
Papaya,56.6,60.6,48.2,6.7,151.4,33.6,94.0,6.17,Fasal Bima Yojana
Chickpea,36.2,76.2,75.5,7.1,68.5,18.4,23.0,2.37,PM-Kisan
Mango,18.7,29.9,27.6,5.2,96.1,31.0,48.0,2.95,None
Kidneybeans,33.9,60.2,17.7,6.0,147.5,17.2,22.9,2.79,Kisan Credit Card
Banana,87.2,71.0,53.5,6.0,102.8,25.7,75.3,1.78,PM-Kisan
Watermelon,92.7,25.9,47.7,6.3,57.1,25.3,84.3,0.98,PM-Kisan
Blackgram,56.0,71.5,21.6,7.0,73.4,29.4,69.4,1.67,State Subsidy A
