Crop,Nitrogen_N,Phosphorus_P,Potassium_K,pH,Rainfall_mm,Temperature_C,Humidity_percent,Land_Size_hectares,Scheme
Pulses,109,76,42,6.21,2331,25.22,48.66,1.99,PM Fasal Bima Yojana
Fruits,123,15,35,6.57,1103,28.86,70.59,4.49,PM Fasal Bima Yojana
Jute,105,71,48,4.96,1492,17.35,55.57,9.81,PM Krishi Sinchai Yojana
Jute,58,47,42,4.69,2181,30.88,42.27,4.06,PM Fasal Bima Yojana
Spices,115,15,88,7.24,735,31.06,41.33,6.06,Soil Health Card Scheme
Vegetables,31,64,54,7.07,1356,28.64,87.07,4.17,Soil Health Card Scheme
Spices,62,58,48,4.78,2030,24.43,41.95,6.37,Soil Health Card Scheme
Spices,93,48,26,4.97,2049,30.72,83.87,7.48,PM Fasal Bima Yojana
Fruits,55,24,92,6.77,1522,25.32,58.6,7.88,Paramparagat Krishi Vikas Yojana
Jute,31,69,32,7.46,1272,24.44,66.72,5.22,PM Fasal Bima Yojana
Maize,68,26,80,8.12,475,23.87,87.84,6.93,PM Fasal Bima Yojana
Spices,130,30,88,5.67,1892,33.81,79.58,8.0,PM-KISAN
Spices,77,53,33,6.7,1556,33.43,67.3,7.21,Paramparagat Krishi Vikas Yojana
Fruits,93,72,36,4.9,1942,25.65,51.13,4.27,Soil Health Card Scheme
Wheat,24,43,56,5.43,1919,36.58,84.02,2.75,PM Fasal Bima Yojana
Cotton,55,45,38,7.61,1605,32.63,52.44,3.64,PM Fasal Bima Yojana
Wheat,111,72,39,4.98,1228,35.57,77.21,6.97,Soil Health Card Scheme
Rice,44,70,52,5.39,533,35.05,88.9,5.78,PM Krishi Sinchai Yojana
Jute,55,33,39,4.8,2494,30.73,74.79,4.82,PM Fasal Bima Yojana
Sugarcane,22,30,76,8.16,1753,38.76,84.51,4.83,PM Fasal Bima Yojana
Vegetables,111,50,27,5.91,939,16.94,88.72,9.87,PM Fasal Bima Yojana
Rice,92,47,96,7.24,1324,18.33,43.81,9.44,PM Fasal Bima Yojana
Jute,66,39,85,4.83,1197,36.65,42.26,0.75,PM-KISAN
Rice,37,63,30,6.88,462,24.82,81.46,5.91,PM-KISAN
Pulses,25,19,22,6.72,1113,36.24,52.37,4.78,Soil Health Card Scheme
Cotton,81,79,51,4.69,1974,31.79,66.02,7.84,Soil Health Card Scheme
Rice,73,19,76,6.86,1652,30.51,75.2,2.52,PM-KISAN
Sugarcane,69,44,98,6.25,846,33.16,67.37,4.78,Paramparagat Krishi Vikas Yojana
Pulses,125,65,24,7.69,537,38.16,64.61,2.95,PM Fasal Bima Yojana
Wheat,25,67,85,5.82,442,21.0,43.79,1.72,Soil Health Card Scheme
Vegetables,23,70,44,8.09,1066,31.69,48.62,2.33,PM-KISAN
Spices,80,36,40,6.69,923,20.16,58.21,5.28,Soil Health Card Scheme
Fruits,45,61,75,7.99,447,16.53,53.84,8.16,PM Fasal Bima Yojana
Cotton,98,61,75,6.44,873,34.0,66.56,7.34,PM-KISAN
Maize,26,17,42,6.55,2174,15.76,83.36,3.86,PM Krishi Sinchai Yojana
Spices,58,71,36,5.35,525,17.99,84.53,6.14,PM Fasal Bima Yojana
Maize,124,32,53,6.73,1941,37.49,70.38,2.82,PM Fasal Bima Yojana
Sugarcane,120,47,72,4.91,2133,24.13,64.39,8.58,Soil Health Card Scheme
Vegetables,74,23,22,6.6,1463,32.42,89.86,9.02,Soil Health Card Scheme
Cotton,98,20,70,7.78,593,28.92,68.58,3.16,PM Fasal Bima Yojana
Sugarcane,45,33,39,5.47,958,32.68,78.39,1.33,PM-KISAN
Cotton,96,17,52,5.98,2439,18.36,43.17,9.9,Soil Health Card Scheme
Rice,82,31,28,6.88,2343,30.15,79.71,1.51,PM-KISAN
Wheat,97,23,53,5.22,1970,38.16,76.08,0.96,PM-KISAN
Fruits,120,28,79,5.15,1124,19.66,51.78,6.52,Soil Health Card Scheme
Fruits,128,56,37,7.77,1718,32.84,84.98,6.43,Soil Health Card Scheme
Rice,44,31,85,6.67,2370,25.79,56.64,7.44,PM Fasal Bima Yojana
Cotton,34,43,52,6.63,1654,29.33,89.88,7.65,Soil Health Card Scheme
Pulses,52,24,24,8.01,1541,35.53,45.53,8.54,PM Krishi Sinchai Yojana
Jute,48,61,87,7.39,529,15.31,69.92,5.87,PM Fasal Bima Yojana
Jute,39,25,93,5.87,1111,25.59,54.4,6.34,Soil Health Card Scheme
Vegetables,81,74,62,8.23,755,37.97,79.5,0.72,PM-KISAN
Rice,111,45,28,6.2,1830,18.07,51.8,2.07,PM Krishi Sinchai Yojana
Rice,82,68,74,5.41,2334,24.98,42.74,3.68,PM Fasal Bima Yojana
Jute,45,55,54,6.09,936,36.59,86.15,4.92,PM Fasal Bima Yojana
Rice,62,73,70,5.49,424,27.46,60.95,9.19,Soil Health Card Scheme
Sugarcane,45,42,68,5.21,1507,26.47,67.87,8.68,Soil Health Card Scheme
Vegetables,68,15,32,6.09,1351,37.45,50.26,2.31,Soil Health Card Scheme
Vegetables,38,32,20,7.6,593,28.36,64.05,5.22,PM Fasal Bima Yojana
Cotton,20,22,48,4.8,1199,21.81,84.87,5.5,Soil Health Card Scheme
Pulses,111,46,69,7.97,1232,28.79,52.69,2.36,Soil Health Card Scheme
Vegetables,73,65,27,4.9,1511,33.06,82.78,8.39,Soil Health Card Scheme
Jute,33,69,67,4.85,729,17.14,50.39,0.75,PM Fasal Bima Yojana
Wheat,21,15,66,7.0,1145,35.63,58.15,0.83,PM-KISAN
Jute,57,23,72,5.68,1923,39.36,78.99,1.59,PM-KISAN
Pulses,115,28,28,6.67,636,25.06,50.9,6.63,Soil Health Card Scheme
Spices,77,43,56,4.57,2489,29.41,53.7,5.76,PM Fasal Bima Yojana
Spices,95,41,76,5.57,1130,29.94,70.03,6.82,PM-KISAN
Rice,45,76,65,4.69,2245,33.45,44.14,6.23,PM Fasal Bima Yojana
Cotton,132,73,58,6.94,1733,26.9,73.18,9.4,PM Krishi Sinchai Yojana
Rice,55,34,81,8.32,2426,23.36,78.55,1.51,PM Fasal Bima Yojana
Fruits,80,57,61,6.34,530,16.94,40.12,9.69,PM-KISAN
Jute,63,73,68,5.05,729,32.26,66.07,1.32,PM-KISAN
Maize,27,35,99,7.9,1512,31.17,74.66,0.99,PM-KISAN
Spices,35,31,42,6.72,649,22.82,46.03,7.44,PM-KISAN
Pulses,112,53,37,6.59,1014,15.93,69.81,2.69,PM-KISAN
Jute,62,54,74,6.12,438,22.88,66.97,8.01,Soil Health Card Scheme
Spices,127,69,61,8.46,650,36.87,66.45,9.42,PM Fasal Bima Yojana
Pulses,65,43,81,4.85,717,27.0,71.38,8.8,Soil Health Card Scheme
Spices,49,39,24,7.43,2450,26.68,54.85,8.6,PM Fasal Bima Yojana
Jute,44,62,84,8.14,2398,25.69,59.22,6.96,Soil Health Card Scheme
Jute,62,53,75,8.04,410,37.59,89.46,7.56,Soil Health Card Scheme
Sugarcane,136,71,60,5.25,2311,23.75,42.89,9.71,PM Fasal Bima Yojana
Maize,39,75,54,7.53,402,35.4,51.22,2.63,PM Fasal Bima Yojana
Fruits,87,28,30,8.01,1387,26.92,42.22,8.6,PM Fasal Bima Yojana
Fruits,24,25,78,5.63,1374,15.13,74.79,0.96,PM-KISAN
Jute,79,62,96,8.08,1372,36.28,64.76,5.07,PM Fasal Bima Yojana
Spices,86,70,59,7.21,2396,21.68,83.93,8.08,PM Fasal Bima Yojana
Rice,78,73,67,7.33,762,20.97,86.5,1.51,PM-KISAN
Pulses,24,59,77,6.36,1454,35.65,46.44,3.68,PM Fasal Bima Yojana
Wheat,119,16,97,7.53,1947,15.16,54.35,6.36,PM Fasal Bima Yojana
Rice,123,74,83,6.66,1074,18.21,54.17,0.68,PM-KISAN
Wheat,82,42,79,5.22,2484,17.56,86.86,7.03,PM Krishi Sinchai Yojana
Sugarcane,36,24,84,4.73,1103,31.9,62.3,6.65,Soil Health Card Scheme
Pulses,48,25,52,5.79,969,15.03,47.95,4.95,PM Fasal Bima Yojana
Maize,32,53,34,7.68,1498,20.52,44.12,6.96,Soil Health Card Scheme
Maize,100,70,40,8.14,1268,30.96,59.88,3.11,Soil Health Card Scheme
Rice,77,52,34,7.48,2255,36.7,75.75,5.85,PM Fasal Bima Yojana
Vegetables,79,60,36,4.86,919,34.27,82.24,7.73,Soil Health Card Scheme
Jute,43,74,22,5.24,926,27.04,45.87,1.69,PM-KISAN
Cotton,28,52,67,6.47,1413,23.15,69.51,4.62,Soil Health Card Scheme
Rice,91,35,37,7.22,737,27.0,70.0,3.27,PM Krishi Sinchai Yojana
Rice,121,55,27,7.4,1511,18.65,45.14,5.92,PM Fasal Bima Yojana
Cotton,52,54,51,8.26,401,28.36,84.13,1.28,PM-KISAN
Spices,41,52,65,7.27,542,20.0,48.37,1.49,PM-KISAN
Maize,25,23,25,6.97,1839,22.47,86.76,9.5,Soil Health Card Scheme
Cotton,81,21,94,8.08,1299,29.94,79.19,5.07,PM-KISAN
Wheat,137,26,31,5.14,1724,30.39,56.45,4.97,Soil Health Card Scheme
Pulses,72,69,51,6.49,2389,32.98,51.42,9.97,PM Fasal Bima Yojana
Maize,47,49,80,4.79,2382,20.09,82.02,2.15,PM Fasal Bima Yojana
Spices,80,38,39,7.02,1787,34.19,65.24,5.66,Soil Health Card Scheme
Fruits,55,48,55,6.19,1154,29.81,85.62,2.5,Soil Health Card Scheme
Vegetables,40,29,45,7.36,877,19.49,51.88,9.73,PM-KISAN
Jute,57,55,81,4.89,780,26.13,65.74,3.91,Soil Health Card Scheme
Sugarcane,36,42,85,7.93,660,23.13,78.67,1.74,PM-KISAN
Spices,86,28,99,6.58,2201,31.73,47.29,4.77,PM Fasal Bima Yojana
Rice,76,78,47,4.65,2356,23.92,66.68,7.93,PM Fasal Bima Yojana
Vegetables,47,20,80,4.64,1368,28.28,86.83,0.87,Soil Health Card Scheme
Jute,78,47,70,4.67,889,24.93,63.99,7.02,PM Fasal Bima Yojana
Fruits,58,70,62,6.46,1717,18.49,41.5,3.43,PM Krishi Sinchai Yojana
Spices,138,22,20,7.42,1781,36.7,48.86,7.08,PM Fasal Bima Yojana
Spices,62,44,36,7.82,702,29.27,41.52,9.34,Soil Health Card Scheme
Rice,20,33,50,7.14,1727,31.28,45.33,6.75,Soil Health Card Scheme
Sugarcane,82,47,60,8.47,888,17.73,72.53,7.77,PM Fasal Bima Yojana
Maize,89,27,42,6.24,1754,24.39,54.84,6.67,PM Fasal Bima Yojana
Rice,95,29,40,6.02,1896,29.91,67.28,4.72,PM-KISAN
Maize,91,60,28,6.02,1873,26.98,41.28,3.74,PM Fasal Bima Yojana
Jute,98,58,34,6.08,1749,33.67,75.77,5.45,PM Krishi Sinchai Yojana
Pulses,99,61,34,5.47,1114,24.5,49.86,5.05,PM-KISAN
Cotton,131,66,46,8.22,1579,28.48,55.57,6.3,Soil Health Card Scheme
Rice,96,18,94,4.99,1462,28.13,75.45,1.52,PM-KISAN
Spices,75,50,87,4.85,2245,28.76,42.17,6.51,PM Fasal Bima Yojana
Pulses,41,35,28,7.67,2206,30.27,60.55,8.48,PM Fasal Bima Yojana
Rice,45,51,87,5.6,545,34.17,47.49,4.53,Paramparagat Krishi Vikas Yojana
Rice,138,35,41,4.59,1387,20.15,71.9,2.94,Soil Health Card Scheme
Fruits,44,16,83,5.05,1977,25.7,75.88,7.08,Soil Health Card Scheme
Maize,87,56,51,5.6,1405,21.62,72.26,6.16,PM Fasal Bima Yojana
Rice,89,55,87,6.27,1355,35.01,51.69,5.63,PM Fasal Bima Yojana
Wheat,86,58,77,5.83,1553,39.85,73.09,5.8,PM Fasal Bima Yojana
Cotton,27,36,63,4.86,2268,30.87,77.74,2.12,PM Fasal Bima Yojana
Fruits,74,30,31,5.89,2331,39.53,63.74,4.13,Paramparagat Krishi Vikas Yojana
Sugarcane,24,79,49,6.58,855,33.88,46.39,8.35,Soil Health Card Scheme
Wheat,33,50,42,5.55,2001,24.52,57.32,2.77,PM Fasal Bima Yojana
Maize,71,76,42,8.27,710,19.04,79.31,5.96,Soil Health Card Scheme
Cotton,125,26,68,4.97,993,30.7,73.72,5.56,Soil Health Card Scheme
Maize,99,21,71,7.77,798,25.07,48.68,7.1,Paramparagat Krishi Vikas Yojana
Spices,44,39,73,5.75,494,27.18,70.31,7.77,Soil Health Card Scheme
Fruits,25,39,32,5.97,1363,18.38,88.16,5.72,Soil Health Card Scheme
Cotton,37,74,82,7.06,2284,15.44,70.13,3.97,Soil Health Card Scheme
Wheat,29,16,30,7.52,2350,32.38,89.18,2.77,PM Fasal Bima Yojana
Maize,26,30,23,7.03,1975,35.35,70.76,3.41,PM Fasal Bima Yojana
Sugarcane,122,64,82,7.67,1997,31.35,57.71,5.49,PM Fasal Bima Yojana
Pulses,120,19,74,6.16,1141,21.5,78.01,1.8,PM-KISAN
Rice,32,67,64,4.67,864,17.74,67.4,4.82,PM Fasal Bima Yojana
Pulses,136,40,87,7.96,1023,33.43,63.8,4.07,PM Fasal Bima Yojana
Sugarcane,61,35,61,8.07,504,17.55,72.93,9.46,PM Fasal Bima Yojana
Rice,29,72,79,7.62,1114,27.39,59.32,4.78,Paramparagat Krishi Vikas Yojana
Pulses,107,59,88,7.45,1431,16.04,44.24,7.31,PM-KISAN
Vegetables,36,19,39,7.45,2350,22.41,57.49,7.86,PM Fasal Bima Yojana
Maize,126,72,24,6.7,2437,34.11,53.25,0.7,PM Fasal Bima Yojana
Vegetables,123,39,92,6.03,1362,18.03,70.75,7.86,Soil Health Card Scheme
Spices,138,76,29,7.69,1051,26.86,45.7,5.12,Soil Health Card Scheme
Wheat,30,24,34,4.94,2088,24.4,67.5,4.19,Paramparagat Krishi Vikas Yojana
Maize,65,35,51,5.77,438,36.16,85.95,2.9,PM Fasal Bima Yojana
Jute,27,60,26,5.22,2159,19.44,67.25,9.85,PM Fasal Bima Yojana
Wheat,21,43,98,4.87,1886,27.65,82.04,7.46,Soil Health Card Scheme
Rice,75,17,82,4.92,422,32.22,83.67,6.54,PM Fasal Bima Yojana
Vegetables,125,72,35,7.75,2299,33.16,89.59,1.44,PM-KISAN
Spices,117,24,40,7.43,2154,19.7,57.77,7.95,PM Fasal Bima Yojana
Sugarcane,125,72,73,7.83,2397,20.06,87.9,4.0,PM-KISAN
Pulses,89,70,77,5.97,1804,31.08,79.02,2.56,PM-KISAN
Sugarcane,104,68,40,4.62,2195,19.53,59.38,4.32,PM Fasal Bima Yojana
Maize,107,72,74,7.31,561,29.98,70.11,0.72,PM-KISAN
Maize,41,38,95,7.64,1397,20.25,81.26,5.44,PM Fasal Bima Yojana
Pulses,132,69,37,5.99,1536,29.96,76.78,9.98,Paramparagat Krishi Vikas Yojana
Rice,36,18,39,7.64,2410,32.15,89.56,7.6,PM Fasal Bima Yojana
Spices,35,75,29,5.84,1372,32.51,69.29,6.07,Soil Health Card Scheme
Maize,136,33,61,7.91,1321,36.82,82.1,2.27,PM Fasal Bima Yojana
Spices,83,19,89,7.02,1037,33.2,64.82,4.65,Soil Health Card Scheme
Sugarcane,60,68,65,6.94,587,24.97,86.13,4.98,PM-KISAN
Sugarcane,111,21,54,5.6,669,21.24,53.6,7.71,Soil Health Card Scheme
Sugarcane,63,59,75,4.69,1274,18.48,66.62,4.41,Paramparagat Krishi Vikas Yojana
Wheat,51,34,34,8.03,1849,35.7,79.39,6.43,PM Fasal Bima Yojana
Jute,101,17,56,6.76,2338,22.72,87.35,9.69,PM Krishi Sinchai Yojana
Spices,90,47,43,4.96,2475,33.07,43.38,7.22,PM Fasal Bima Yojana
Sugarcane,129,79,93,5.16,1937,31.6,50.8,1.43,PM-KISAN
Maize,58,54,57,7.73,1010,16.3,79.31,2.41,PM-KISAN
Cotton,129,29,98,8.02,1181,20.97,62.56,9.86,Soil Health Card Scheme
Wheat,44,17,91,5.63,1977,27.45,45.27,6.74,Soil Health Card Scheme
Wheat,62,33,88,8.36,407,22.18,79.64,5.99,PM Fasal Bima Yojana
Pulses,28,61,34,8.16,1527,28.0,62.38,5.8,Soil Health Card Scheme
Maize,46,54,52,6.89,1414,19.61,84.7,6.72,PM-KISAN
Cotton,113,33,51,4.97,2330,27.63,88.36,4.47,PM Fasal Bima Yojana
Jute,49,27,53,5.16,1525,39.49,72.81,1.73,PM-KISAN
Maize,116,39,39,8.06,626,19.69,82.91,8.28,Soil Health Card Scheme
Maize,79,58,30,8.11,1787,26.48,57.89,5.2,Soil Health Card Scheme
Spices,131,35,47,7.8,589,32.98,61.01,9.1,PM Fasal Bima Yojana
Wheat,77,71,42,6.98,2074,36.09,52.7,0.8,PM-KISAN
Wheat,85,54,47,7.23,2083,20.68,81.85,3.15,PM Fasal Bima Yojana
Cotton,77,39,66,5.72,932,15.83,55.2,6.71,PM Fasal Bima Yojana
Rice,58,23,96,8.1,1538,37.68,73.54,5.82,Soil Health Card Scheme
Sugarcane,33,76,54,6.15,2446,17.77,61.13,0.9,PM-KISAN
Spices,121,36,67,7.33,1849,32.48,81.97,9.83,Soil Health Card Scheme
Fruits,138,33,66,6.3,1543,32.59,67.03,1.42,PM-KISAN
Vegetables,71,28,94,4.8,440,16.2,85.14,8.6,PM Fasal Bima Yojana
Sugarcane,60,69,35,5.46,2093,25.73,53.39,8.0,PM Fasal Bima Yojana
Jute,88,62,39,5.38,2444,28.13,41.63,8.75,Soil Health Card Scheme
Vegetables,64,61,59,5.77,926,30.05,84.63,4.71,Soil Health Card Scheme
Maize,57,34,48,7.06,2246,27.81,45.21,4.15,PM Fasal Bima Yojana
Sugarcane,127,48,74,8.44,1510,25.17,84.57,0.53,Soil Health Card Scheme
Vegetables,102,79,76,5.83,1266,19.9,70.54,3.17,PM-KISAN
Sugarcane,68,60,81,7.83,803,17.7,56.94,8.12,PM Fasal Bima Yojana
Spices,126,68,28,7.77,1216,30.43,45.69,3.78,Soil Health Card Scheme
Fruits,58,27,83,7.31,1306,18.29,53.74,4.25,PM Fasal Bima Yojana
Vegetables,91,75,31,7.2,2352,35.59,87.75,8.3,Soil Health Card Scheme
Pulses,49,61,68,6.92,2081,17.86,59.19,4.83,PM-KISAN
Vegetables,103,29,60,8.27,1358,31.15,72.32,8.94,Soil Health Card Scheme
Wheat,70,53,47,5.19,1028,37.56,43.32,5.57,PM Fasal Bima Yojana
Maize,126,79,74,6.81,1780,18.08,67.93,3.76,Paramparagat Krishi Vikas Yojana
Fruits,57,42,40,7.27,2081,25.1,43.88,5.65,PM Fasal Bima Yojana
Wheat,51,42,63,8.17,2470,22.97,69.11,4.03,PM Fasal Bima Yojana
Cotton,52,38,58,6.55,406,18.56,84.5,3.79,PM-KISAN
Wheat,111,49,62,6.04,525,29.9,45.06,8.55,PM Fasal Bima Yojana
Cotton,75,79,50,7.25,2300,39.3,51.42,9.79,PM Fasal Bima Yojana
Cotton,45,41,65,4.62,1657,24.89,55.66,1.9,PM-KISAN
Spices,120,51,61,6.0,2131,39.87,67.27,1.34,PM-KISAN
Cotton,36,36,87,8.42,2332,28.54,78.1,8.42,PM Fasal Bima Yojana
Spices,117,46,70,5.21,740,23.56,53.51,9.68,Soil Health Card Scheme
Maize,20,77,43,8.5,1308,30.66,64.44,4.32,Soil Health Card Scheme
Wheat,123,38,38,5.31,1707,36.31,75.54,9.12,Soil Health Card Scheme
Wheat,30,68,64,6.33,1910,18.12,79.71,3.12,Soil Health Card Scheme
Sugarcane,36,33,45,8.42,2171,33.87,64.6,3.37,PM Fasal Bima Yojana
Rice,81,37,34,6.92,1103,27.31,68.86,8.72,Paramparagat Krishi Vikas Yojana
Wheat,111,65,66,7.56,1302,38.9,50.02,1.54,PM-KISAN
Rice,100,33,82,8.03,1436,39.29,51.04,7.47,PM Fasal Bima Yojana
Sugarcane,112,57,86,7.27,2233,30.81,72.22,8.29,Paramparagat Krishi Vikas Yojana
Fruits,113,61,54,8.49,512,17.25,40.12,0.92,PM-KISAN
Jute,20,29,56,4.52,1047,34.22,72.93,7.78,Soil Health Card Scheme
Wheat,82,37,28,7.39,813,15.61,55.31,5.72,PM Fasal Bima Yojana
Wheat,64,75,35,7.23,2080,27.52,79.73,7.22,PM-KISAN
Vegetables,130,45,53,5.62,1638,38.23,60.26,9.11,PM Fasal Bima Yojana
Rice,36,44,72,4.63,1476,25.4,77.98,2.28,Soil Health Card Scheme
Spices,29,68,71,7.05,1411,22.58,54.5,5.85,Paramparagat Krishi Vikas Yojana
Vegetables,101,26,50,5.64,1249,35.59,76.09,3.08,PM Fasal Bima Yojana
Fruits,114,40,37,5.6,1511,35.98,40.19,2.84,PM Fasal Bima Yojana
Fruits,84,33,28,7.87,827,29.3,85.36,9.46,Soil Health Card Scheme
Sugarcane,131,70,95,7.2,870,27.35,59.38,6.51,PM Krishi Sinchai Yojana
Spices,66,37,40,8.0,1524,39.15,78.05,9.53,PM Fasal Bima Yojana
Fruits,40,26,56,4.69,1524,27.46,59.26,8.73,Soil Health Card Scheme
Wheat,97,27,32,6.16,1048,31.43,63.61,8.86,PM-KISAN
Pulses,64,48,28,5.05,2227,33.46,55.78,6.63,Soil Health Card Scheme
Sugarcane,84,35,32,4.73,517,34.55,67.19,1.45,PM-KISAN
Jute,121,38,21,4.58,797,25.34,64.64,4.34,Soil Health Card Scheme
Sugarcane,135,38,48,6.36,1139,16.04,59.88,7.74,PM Fasal Bima Yojana
Rice,123,72,95,5.0,2105,34.25,80.36,1.64,PM Krishi Sinchai Yojana
Spices,26,71,31,4.51,883,28.71,83.96,6.92,Soil Health Card Scheme
Vegetables,116,59,78,5.71,594,32.75,86.87,6.23,PM Fasal Bima Yojana
Pulses,63,18,28,5.46,2247,39.78,67.22,9.65,PM-KISAN
Pulses,125,71,45,7.89,860,35.28,71.8,4.19,PM Fasal Bima Yojana
Rice,68,61,71,5.85,2123,28.47,43.03,7.05,PM Fasal Bima Yojana
Wheat,24,66,94,4.68,2096,38.95,66.48,2.8,PM Fasal Bima Yojana
Jute,65,20,57,8.21,2332,26.46,68.04,8.71,PM Fasal Bima Yojana
Rice,100,64,30,6.07,2005,17.72,71.83,5.23,PM Fasal Bima Yojana
Spices,81,25,37,6.87,1269,30.56,89.06,2.31,PM Krishi Sinchai Yojana
Wheat,36,57,99,8.41,1670,24.82,82.71,7.84,PM-KISAN
Pulses,100,73,63,4.55,2036,24.42,67.6,8.15,Soil Health Card Scheme
Vegetables,85,69,91,7.73,748,27.02,73.12,1.63,Paramparagat Krishi Vikas Yojana
Maize,20,46,90,5.99,1379,17.27,41.63,1.05,PM-KISAN
Spices,97,31,37,8.47,1260,29.1,57.93,6.74,PM-KISAN
Cotton,135,24,78,5.38,504,20.72,87.82,1.91,PM-KISAN
Fruits,112,25,75,6.82,1532,23.83,84.7,9.49,Paramparagat Krishi Vikas Yojana
Jute,97,18,42,6.41,1822,28.61,50.22,2.93,Soil Health Card Scheme
Fruits,110,29,56,6.34,1790,35.27,81.79,3.66,PM Fasal Bima Yojana
Vegetables,43,18,86,6.56,678,38.28,59.59,5.69,PM Fasal Bima Yojana
Fruits,79,68,89,4.72,2073,20.01,50.18,0.6,PM-KISAN
Maize,105,61,87,8.37,1934,31.02,60.8,7.71,Soil Health Card Scheme
Jute,44,41,70,5.23,895,37.55,80.33,9.86,PM Fasal Bima Yojana
Jute,73,35,91,7.14,2222,33.85,41.03,3.06,PM Fasal Bima Yojana
Rice,30,24,36,6.91,1534,32.86,77.95,1.47,PM-KISAN
Fruits,70,50,85,7.29,2314,35.09,46.1,1.69,PM-KISAN
Fruits,100,48,60,5.28,1564,20.33,73.26,1.99,Soil Health Card Scheme
Pulses,83,79,86,6.43,1967,24.68,85.33,0.65,PM-KISAN
Maize,123,72,52,8.38,1100,17.44,67.95,5.26,PM Fasal Bima Yojana
Rice,68,54,84,5.74,789,17.96,88.08,7.29,PM Fasal Bima Yojana
Spices,108,34,87,7.0,1937,36.79,73.64,8.07,Soil Health Card Scheme
Maize,133,30,70,4.55,863,19.07,49.35,0.69,PM-KISAN
Jute,46,26,36,8.24,916,33.32,60.23,1.15,PM-KISAN
Wheat,131,33,88,4.79,851,39.55,79.24,7.47,Soil Health Card Scheme
Sugarcane,112,34,48,5.8,760,39.51,43.38,5.43,PM Krishi Sinchai Yojana
Jute,47,76,60,7.45,1891,25.57,57.33,4.28,PM Fasal Bima Yojana
Spices,117,49,99,7.02,421,18.6,69.77,2.14,PM Fasal Bima Yojana
Cotton,110,55,73,7.28,802,30.59,72.43,3.04,Paramparagat Krishi Vikas Yojana
Spices,92,62,89,5.75,499,21.24,40.1,2.15,PM Fasal Bima Yojana
Jute,98,73,41,8.26,1671,29.69,75.06,6.96,Soil Health Card Scheme
Rice,64,21,68,6.67,482,38.94,59.95,8.48,Soil Health Card Scheme
Sugarcane,36,41,73,5.81,2179,33.71,85.73,4.62,Soil Health Card Scheme
Fruits,46,40,38,6.86,442,30.94,52.1,7.28,PM-KISAN
